,name,films,tv_shows,park_attractions
0,Achilles,['Hercules (film)'],['Hercules (TV series)'],[]
1,Abigail the Cow,"['The Fox and the Hound', 'The Fox and the Hound 2']",[],[]
2,Abdullah,['Cheetah'],[],[]
3,Admiral Boom and Mr. Binnacle,"['Mary Poppins (film)', 'Mary Poppins Returns']",[],[]
4,.GIFfany,[],['Gravity Falls'],[]
5,90's Adventure Bear,[],['Pickle and Peanut'],[]
6,Candace Adams,[],['K.C. Undercover'],[]
7,Ahadi,"['The Lion King', 'The Lion King (2019 film)']",[],[]
8,Al Muddy Sultan,[],['Aladdin (TV series)'],[]
9,Irwina Allen,[],"[""Chip 'n Dale Rescue Rangers""]",[]
10,Ambrose,"['The Robber Kitten', ""Mickey's Polo Team""]",[],[]
11,Amos,['Ben and Me'],[],[]
12,Arabella,[],[],[]
13,Arabella Smith,[],[],['Tortuga Tavern']
14,Queen Ariel,[],['DuckTales'],[]
15,Arthur and Cecil,[],['Jungle Cubs'],[]
16,Fiona Ashbury,[],['Fillmore!'],[]
17,Ashcan and Pete,['Homeward Bound II: Lost in San Francisco'],[],[]
18,Aspen,['Bedtime Stories'],[],[]
19,Astuto,[],['The Lion Guard'],[]
20,Athena,['Tomorrowland (film)'],[],[]
21,Aunt Em,['Return to Oz'],['Once Upon a Time'],[]
22,Aviarius,[],['Kim Possible'],[]
23,Prince Axel,[],[],[]
24,Butter Otter,[],['PB&J Otter'],[]
25,Baby Panda,[],['Timon & Pumbaa'],[]
26,Marta Balatico,[],['Mackenzie Falls'],[]
27,Mr. Baldwin,[],['Fish Hooks'],[]
28,Baloo,"['The Jungle Book', 'The Jungle Book 2', ""Rudyard Kipling's The Jungle Book"", ""The Jungle Book: Mowgli's Story"", ""Mickey's Magical Christmas: Snowed in at the House of Mouse"", ""Mickey's House of Villains"", 'The Lion King 1½', 'Meet the Robinsons', 'The Jungle Book (2016 film)']","['The Mouse Factory', 'TaleSpin', 'Raw Toonage', 'Aladdin (TV series)', 'Jungle Cubs', 'House of Mouse', 'DuckTales (2017 series)']","['The Disney Afternoon Live!: Plane Crazy', ""Mickey's Magical TV World"", 'Fantasmic!', ""It's a Small World"", 'Mickey Mouse Revue', 'Celebrate a Dreams Come True Parade', ""Mickey's Jammin' Jungle Parade"", ""Mickey's Jingle Jungle Parade"", 'Disney Stars and Motorcars Parade', 'Parade of the Stars', 'World of Color', 'Mickey and the Wondrous Book', ""La Forêt de l'Enchantement: Une aventure musicale Disney"", 'Happily Ever After (fireworks show)']"
29,Michael Banks,"['Mary Poppins (film)', 'Mary Poppins Returns']",[],[]
30,Banshee,[],"[""Chip 'n Dale Rescue Rangers""]",[]
31,Baron Blitz,[],['Teamo Supremo'],[]
32,Sir Bart,['The Sword in the Stone'],[],[]
33,Bernice Beachmont,[],['Fillmore!'],[]
34,Beardini the Pirate Magician,[],['Jake and the Never Land Pirates'],[]
35,Beheaded Knight,['The Haunted Mansion (film)'],[],['The Haunted Mansion']
36,Alan Coleman,['Freaky Friday (2003 film)'],[],[]
37,Alma,[],['Doc McStuffins'],[]
38,Captain Amelia,['Treasure Planet'],[],[]
39,Amelia Duckworth,[],[],[]
40,Captain Anderson,['The Cat from Outer Space'],[],[]
41,Erica Ange,[],[],[]
42,Angela,[],['Fish Hooks'],[]
43,Anthony Biddle,['The Happiest Millionaire'],[],[]
44,Apaches,['Savage Sam'],[],[]
45,Apothecary Gary,[],['Amphibia'],[]
46,Aqua,[],[],[]
47,Archibald Smelding,[],[],['Tower of Terror']
48,Mr. Arrow,['Treasure Planet'],[],[]
49,Queen Athena,"[""The Little Mermaid: Ariel's Beginning"", 'The Little Mermaid (live-action film)']",[],[]
